chunk_text,manuelle,compound_score,sentiment_label,compound_score_trad
Je pense que ce traité dont nous débattons aujourdhui et qui devrait être mis en œuvre lannée prochaine mais rien de plus quun outil de la part dune organisation qui a échoué misérablement pendant la crise du covid donc un,0.6,0.0,neutre,-0.9455
outil qui lui permettrait davoir encore davantage de contrôle sur la population mais cette foisci pas uniquement dans le monde occidental ou sur une grande partie du monde mais dans le monde entier revenons quelques années en arrière et procédons,1,0.0,neutre,0.1154
à une brève évaluation de ce que nous avons vu de ce que nous avons supporté alors aujourdhui nous discutons de létat des libertés fondamentales des droits fondamentaux pendant la crise du covid et la réponse face au covid a,0.8,0.0,neutre,-0.1531
mené à une vaste érosion de nos libertés et ce nétait pas la faute de la maladie cest la réponse de nos gouvernements à ce virus qui a été nocives pour nos libertés et cela menace de devenir un état,0.8,-0.4939,négatif,0.4692
permanent si le n ’ agissons pas de nouveau gouvernements ont vu le virus comme une excuse pour menacer nos droits fondamentaux la liberté de mouvement a été de circulation a été a fait lobjet de restriction extrêmement strictes dans,1,-0.2023,négatif,0.4404
de nombreux pays il y a eu des confinements extrêmement strictes ce qui a eu un effet dévastateur sur léconomie et sur la vie des gens de nombreuses personnes nont pas pu voir leurs proches assister à des enterrements au,1,-0.2732,négatif,-0.8149
même quitter leur foyer pendant une longue période les libertés dexpression ont également été bridées le gouvernement a introduit interdit les manifestations les grands rassemblements dans certains cas les gouvernements ont vu le virus comme une excuse pour accentuer la,0.8,0.0772,positif,0.3612
répression de la dissidence et pour faire taire lopposition comme nous le voyons actuellement on nous penchant sur lun des plus grands réseaux sociaux du monde Twitter nous voyons que Twitter a été utilisé par ces grandes firmes multinationales corrompues,1,0.0,neutre,-0.3818
nous avons donc un mariage entre une multinationale et un gouvernement corrompu donc qui entre en collusion pour lutter contre la liberté des citoyens il y a eu des algoras des algorithmes des protocoles à lencontre des employés pour censurer,1,0.0,neutre,-0.1027
la liberté dexpression or cest lun des droits fondamentaux etc etc voilà donc tout cela cela a déjà été fait les droits à la vie privée ont également été mis à mal de nombreux gouvernements utilisés des applications de suivi,0.8,-0.128,négatif,0.4019
pour surveiller les la circulation et dactivité de leur citoyens ce qui suscite beaucoup dinquiétudes sur les abus de pouvoir de la part des gouvernements enfin le droit à léducation a également été sévèrement mis à Malte écoles de nombreuses,0.6,0.0,neutre,-0.765
universités ont été fermées ou alors ont été forcés de déplacer leurs activités en ligne ce qui a eu un impact disproportionné sur les communautés défavorisées et en effet tous les étudiants nont pas pu avoir accès aux technologies aux,0.8,-0.2732,négatif,-0.6908
ressources nécessaires pour pouvoir apprendre en ligne donc ce traité sur les pandémies est un grand dangereux un grand danger qui menace de prendre le contrôle sur les politiques de la santé nationale et sur la souveraineté de nos pays,1,-0.1531,négatif,0.0258
tout cela serait réduit à un système centralisé mondial financé par des entreprises privées en grande partie et je dois le dire voilà corrompu il sagit de lOrganisation mondiale de la santé nous devons agir afin de lutter contre cette,1,-0.5423,négatif,-0.3818
érosion de nos droits fondamentaux droits fondamentaux qui ne sont plus protégés dans le monde les nous devons rappeler à nos leaders politiques leur responsabilité nous devons également élire de meilleurs dirigeants politiques afin que le droit fondamentaux soit respecté,0.8,0.0,neutre,0.8402
en tout temps même pendant les périodes de crise lavenir de notre démocratie en dépend lavenir de nos enfants en dépend et lavenir de la civilisation humaine dans son entier dépend de ce que nous allons faire aujourdhui merci beaucoup,1,-0.128,négatif,-0.6249
et je le répète je suis extrêmement heureux dêtre parmi vous aujourdhui cest lun de nos grands rassemblements il y en,0.8,0.0,neutre,0.8439
